 População Residente - Pernambuco
População residente por Município
Período:2012
"Município";"População_residente"
"260005 Abreu e Lima";95243
"260010 Afogados da Ingazeira";35416
"260020 Afrânio";17975
"260030 Agrestina";23079
"260040 Água Preta";33785
"260050 Águas Belas";40778
"260060 Alagoinha";13741
"260070 Aliança";37450
"260080 Altinho";22371
"260090 Amaraji";22035
"260100 Angelim";10372
"260105 Araçoiaba";18617
"260110 Araripina";78270
"260120 Arcoverde";69880
"260130 Barra de Guabiraba";13054
"260140 Barreiros";40973
"260150 Belém de Maria";11463
"260160 Belém do São Francisco";20260
"260170 Belo Jardim";72996
"260180 Betânia";12109
"260190 Bezerros";58864
"260200 Bodocó";35676
"260210 Bom Conselho";45983
"260220 Bom Jardim";37949
"260230 Bonito";37539
"260240 Brejão";8834
"260250 Brejinho";7312
"260260 Brejo da Madre de Deus";46248
"260270 Buenos Aires";12618
"260280 Buíque";53304
"260290 Cabo de Santo Agostinho";189222
"260300 Cabrobó";31497
"260310 Cachoeirinha";19088
"260320 Caetés";26946
"260330 Calçado";11051
"260340 Calumbi";5643
"260345 Camaragibe";146847
"260350 Camocim de São Félix";17405
"260360 Camutanga";8204
"260370 Canhotinho";24461
"260380 Capoeiras";19599
"260390 Carnaíba";18707
"260392 Carnaubeira da Penha";11991
"260400 Carpina";76527
"260410 Caruaru";324095
"260415 Casinhas";13830
"260420 Catende";38812
"260430 Cedro";10964
"260440 Chã de Alegria";12601
"260450 Chã Grande";20399
"260460 Condado";24658
"260470 Correntes";17374
"260480 Cortês";12418
"260490 Cumaru";17470
"260500 Cupira";23114
"260510 Custódia";34442
"260515 Dormentes";17296
"260520 Escada";64422
"260530 Exu";31518
"260540 Feira Nova";20830
"260545 Fernando de Noronha";2718
"260550 Ferreiros";11537
"260560 Flores";22162
"260570 Floresta";29973
"260580 Frei Miguelinho";14492
"260590 Gameleira";28503
"260600 Garanhuns";131169
"260610 Glória do Goitá";29241
"260620 Goiana";75902
"260630 Granito";6968
"260640 Gravatá";77845
"260650 Iati";18462
"260660 Ibimirim";27349
"260670 Ibirajuba";7549
"260680 Igarassu";105003
"260690 Iguaracy";11824
"260760 Ilha de Itamaracá";22794
"260700 Inajá";19957
"260710 Ingazeira";4486
"260720 Ipojuca";83862
"260730 Ipubi";28887
"260740 Itacuruba";4475
"260750 Itaíba";26175
"260765 Itambé";35461
"260770 Itapetim";13748
"260775 Itapissuma";24321
"260780 Itaquitinga";16221
"260790 Jaboatão dos Guararapes";654786
"260795 Jaqueira";11479
"260800 Jataúba";16219
"260805 Jatobá";14087
"260810 João Alfredo";31305
"260820 Joaquim Nabuco";15751
"260825 Jucati";10742
"260830 Jupi";13899
"260840 Jurema";14662
"260850 Lagoa de Itaenga";20733
